GameID,Date,Year,Home_team,Away_Team,Home_winner?,Away_Winner?,Ratio A/T,APG,BKPG,RPG DEF,FG%,OPP FG%,FT%,RPG OFF,PFPG,OPP RPG,RPG,REB MAR,OPP PPG,PPG,SCR MAR,STPG,Pct (W/L),3FG% OPP,3FG%,TO MAR
49c253f7-83c3-4f48-b45e-11f05f092f36,11-10-2017,2017,UCF,Mercer,TRUE,FALSE,-0.37,-3.8,1.9,0.21,-4.9,-3.6,-11.9,-0.18,-1.9,4.7,0,-4.7,-8.1,-12.6,-4.5,-0.1,3.5,-2.5,-5.4,-2.4
0cb63f42-d0e0-476f-b9dd-7c291ccdf46d,11-10-2017,2017,High Point,William & Mary,TRUE,FALSE,-0.49,-5.9,-1.3,-2.23,-5.3,-6.1,-10.8,4.06,1.1,0.2,1.8,1.6,-15.2,-14.1,1,1.8,-14.6,-1.9,-7.7,-0.4
285ff9bf-b553-4c55-9486-0606eaf7af67,11-10-2017,2017,Colorado,Northern Colo.,TRUE,FALSE,-0.06,0.9,0.1,-0.75,-3,-2.1,4,0.63,0.4,-1.6,-0.1,1.5,0.1,-9,-9.1,-0.9,-15.3,3,0,-3
4df9b52d-f84b-4976-89df-904b0d8d6fec,11-10-2017,2017,Arkansas,Samford,TRUE,FALSE,0.09,-2.3,2.3,2.3,0.3,-5.8,-8.3,1.78,3.5,0.1,4.1,4,-6.9,2.9,9.8,-1,34.4,-1.6,2.3,6.5
93909262-4c42-4dfa-a4dc-e91420c01654,11-10-2017,2017,Evansville,Arkansas St.,TRUE,FALSE,0.14,2.2,0,3.16,0.2,-7.2,5.7,-3.5,-0.6,-3.4,-0.3,3.1,-14.9,-8.6,6.3,-0.8,18.7,-4.4,7.1,-2.3
1a3546aa-e729-49a9-9628-cf2e4ae254ca,11-10-2017,2017,Texas,Northwestern St.,TRUE,FALSE,0.43,2,0.7,2.04,2.7,-4.2,5.4,-1.76,-3.7,-1.4,0.3,1.7,-9.3,7.7,17,-0.1,42.1,-3.7,4.1,-1.7
d1392cf5-f879-4478-8439-e77ef558e23d,11-10-2017,2017,Oklahoma St.,Pepperdine,TRUE,FALSE,-0.08,0.3,1.8,1.11,-1.8,-5,5.6,2.73,1.2,3.2,3.8,0.6,-5.3,5.3,10.6,1.8,39.5,-3.4,0.5,-4.5
247acbce-2098-4c1c-8a03-0c5e4754ce63,11-10-2017,2017,Villanova,Columbia,TRUE,FALSE,0.4,2.2,0.7,0.93,5.8,-2.2,3.9,-0.63,-2.6,-4.3,0.3,4.6,-7,10.2,17.3,-0.1,60.4,-5.9,3.4,1.1
b4e2f488-2fa0-4ffc-a76f-76c98177252e,11-10-2017,2017,Missouri,Iowa St.,TRUE,FALSE,-0.2,-0.2,0,1.14,1.3,-3.4,3.4,-0.81,1.6,-4.8,0.3,5.1,-7.4,-0.1,7.2,0.4,18.7,-1.1,2.5,-5
f7da9d0f-c08e-4fc8-93f6-5851775ebd42,11-10-2017,2017,Navy,Pittsburgh,TRUE,FALSE,0.1,1.7,-2.2,0.22,3.9,1.3,2.4,3.09,-0.1,-8.4,3.3,11.7,-6,6.7,12.6,2.1,37.5,3,0.6,-1.6
4166841e-f287-4dea-a168-55799c086408,11-10-2017,2017,Wyoming,Chattanooga,TRUE,FALSE,0.23,2.9,1.8,4.58,1.1,-3.6,2.7,-2.3,4.4,5.5,2.3,-3.2,5.2,10.4,5.2,1.5,30.3,2,-1.1,-3
74e6b616-737f-4790-a01c-85f754792fb4,11-10-2017,2017,Kansas,Tennessee St.,TRUE,FALSE,0.68,5.7,1.2,1.59,6.7,-0.5,-3.1,1.07,-3.5,1.9,2.7,0.8,4.8,14.8,10,-0.6,29.5,-2.4,6.6,-0.4
c4061ab9-b367-49ee-8af7-bb7aa3d72799,11-10-2017,2017,Texas Tech,South Ala.,TRUE,FALSE,0.33,1.9,0.4,-2.03,3.9,-0.6,0.4,1.59,-1.1,-5.1,-0.5,4.6,-4.5,5,9.5,1.8,29.2,1.8,3.6,-4
4ce263a9-e8ee-456c-8f4c-e6174163ee9d,11-10-2017,2017,Gonzaga,Texas Southern,TRUE,FALSE,0.38,3,-0.4,2.87,6,-4.3,-1.7,0.83,-0.6,-7,3.7,10.7,-11.7,6.1,17.8,0.5,42.1,-1.6,0.9,2
bdf9a729-ee5d-4d57-82eb-c7dd86567b71,11-10-2017,2017,Kansas St.,American,TRUE,FALSE,0.32,1.6,-0.3,1.59,3.1,-6.2,7,0.15,0.1,-1.2,1.7,2.9,-6.8,5.7,12.6,0.7,47.6,-5.3,0.4,0.7
457aba3b-c4bb-43ed-9029-08bf8a8440d1,11-10-2017,2017,Creighton,Yale,TRUE,FALSE,0.33,1.4,-0.4,3.94,2.9,-2.7,2.6,-1.32,-2.3,1,2.6,1.7,0.3,8.9,8.7,-0.9,12,-0.7,4,-1.1
a542832f-c4bf-4d3c-a0c4-966d63533c3c,11-10-2017,2017,Marquette,Mount St. Mary's,TRUE,FALSE,0.01,1.7,-0.2,0.86,2,2.8,7.2,2.31,4,-4.4,3.2,7.6,6.6,8.5,1.9,-0.8,3.7,1.2,3.8,-2.4
6f52c587-8666-4af7-bfb3-49aac81f498e,11-10-2017,2017,Grand Canyon,Florida A&M,TRUE,FALSE,0.41,5,0.7,4.68,1,-7.3,-2.2,1.67,2.2,-2.7,6.3,9,-13.8,5,18.8,0.5,38.2,-7.1,-3,-1.5
50cd8ffb-28cb-41f9-9b51-2ce57e53e6fe,11-10-2017,2017,TCU,La.-Monroe,TRUE,FALSE,0.3,4.7,2.3,0.8,6.1,2.8,-1.1,1.87,0.2,-4.3,2.7,6.9,7.1,12.3,5.2,0,13.6,3.2,3.5,0.4
e8f8a974-9fe8-4136-a454-26598718afcc,11-10-2017,2017,Iowa,Chicago State,TRUE,FALSE,0.61,6.7,1.6,3.83,7.1,-3.5,-2.9,1.76,-5.1,-6.2,5.6,11.8,-7.4,11.9,19.3,-2.1,33,-2.1,6.7,0.1
