GameID,Date,Year,Home_team,Away_Team,Home_winner?,Away_Winner?,Home_Seed,Away_Seed,Ratio A/T,APG,BKPG,RPG DEF,FG%,OPP FG%,FT%,RPG OFF,PFPG,OPP RPG,RPG,REB MAR,OPP PPG,PPG,SCR MAR,STPG,Pct (W/L),3FG% OPP,3FG%,TO MAR
2252435,03-18-2023,2023,Houston,Auburn,TRUE,FALSE,1,9,0.31,0.6,-0.2,1.58,1.9,-4.1,3.7,1.16,-2.6,-3.9,2.74,6.6,-10.2,2,12.3,0,27.4,-0.9,2.5,2.9
2252430,03-18-2023,2023,Texas,Penn State,TRUE,FALSE,2,10,-0.13,2.5,1.5,-1.96,1,-0.5,0.9,3.49,1.9,-0.5,1.54,2.1,-0.4,6,6.1,4,14.1,-0.3,-4,4.5
2252437,03-18-2023,2023,UCLA,Northwestern,TRUE,FALSE,2,7,0.12,1.7,-0.1,-0.21,5.3,-0.6,-2.6,1.01,-0.6,-2.7,0.79,3.5,-2.1,6,8.5,1,19.1,-2.7,2.8,1.3
2252434,03-18-2023,2023,Alabama,Maryland,TRUE,FALSE,1,8,0.01,3.6,1.4,7.77,-0.6,-5.5,-0.7,3.31,2.7,5.3,11.08,5.8,4.8,12,7.3,1,20.9,-4,0.7,-3.4
2252445,03-19-2023,2023,Xavier,Pittsburgh,TRUE,FALSE,3,11,0.27,5,-0.9,1.43,4.5,2.3,-4.9,0.16,-0.3,-2.3,1.59,3.9,4.4,6,1.5,1,6.3,3.1,3,-0.9
2252444,03-19-2023,2023,Kansas State,Kentucky,TRUE,FALSE,3,6,-0.05,1.9,-0.9,-0.72,0.7,-0.5,4.2,-4.02,1.9,3.8,-4.74,-8.6,2.1,2,-0.4,2,7.5,-1.6,-0.4,1.8
2252441,03-19-2023,2023,Marquette,Michigan State,FALSE,TRUE,2,7,0.28,2.7,0,-3.62,3.4,2.1,-4.1,-0.22,-0.2,2.8,-3.85,-6.6,2.4,8,6.1,5,18.8,2.3,-4,6.2
2252443,03-19-2023,2023,UConn,State Mary's (Cal.),TRUE,FALSE,4,5,0.18,5,1.4,1.62,0.9,-1.8,6.7,2.4,1.2,1.5,4.02,2.6,4,8,3.9,-1,2.4,-3.4,-0.2,-2.1
2252438,03-19-2023,2023,Baylor,Creighton,FALSE,TRUE,3,6,-0.18,-1.5,-1.7,-6.26,-1.9,3.2,-3.9,3.23,4.3,-1.3,-3.03,-1.8,1.9,1,-1.2,2,2.7,-1.1,1.4,3.3
2252440,03-19-2023,2023,Florida Atlantic,FDU,TRUE,FALSE,9,16,-0.06,-0.3,0.6,5.24,1.4,-6.9,-3.3,-0.64,-3.1,-1,4.6,5.6,-8.9,0,9.3,-2,32.9,-2.7,2.1,-3.3
2252442,03-19-2023,2023,Indiana,Miami (Fla.),FALSE,TRUE,4,5,0.03,0.7,2,2.19,0.6,-3.9,-7.3,-1.21,2.9,2.2,0.98,-1.1,-3.2,-4,-1,-2,-12.7,-0.1,0,-1.7
2252439,03-19-2023,2023,Gonzaga,TCU,TRUE,FALSE,3,6,0.16,0.2,-1.3,2.5,6.8,1.5,-0.6,-1.14,0.1,-3.3,1.36,4.6,5,11,6,-1,20.9,4.1,6.9,-1
2252449,03-23-2023,2023,Kansas State,Michigan State,TRUE,FALSE,3,7,-0.11,2.4,-0.2,-1.87,0.9,0,-1.1,0.83,1.5,1.3,-1.04,-2.3,2,5,3.3,3,10.4,-1.6,-5,2.3
2252446,03-23-2023,2023,UConn,Arkansas,TRUE,FALSE,4,8,0.35,4.7,-0.2,1.36,-0.2,-2.5,6.3,2.64,-1.6,-2.9,4,7,-3.8,5,8.3,-2,18.4,-1.4,5,-2
2252448,03-23-2023,2023,Tennessee,Florida Atlantic,FALSE,TRUE,4,9,0.17,2.3,1,-2.55,-3.3,-3,-1.1,1.99,0.9,-1.1,-0.56,0.5,-7.4,-7,0.4,2,-20.3,-5.8,-3.7,2.2
2252447,03-23-2023,2023,UCLA,Gonzaga,FALSE,TRUE,2,3,-0.07,-1.8,0.4,-2.81,-6.1,-3.4,3.8,0.95,-1.1,0.8,-1.87,-2.6,-12.7,-12,0.7,1,0,-3.8,-3,3.1
2252452,03-24-2023,2023,Alabama,San Diego State,FALSE,TRUE,1,5,-0.04,2.1,1.2,6.19,0.4,-3.8,0.3,2.16,2.4,5.2,8.34,3.2,4.8,11,5.8,-1,1.7,-0.1,-1.3,-3.4
2252450,03-24-2023,2023,Houston,Miami (Fla.),FALSE,TRUE,1,5,0.17,0.2,1.8,1.79,-2.2,-8.2,-5.1,2.43,2.5,-0.4,4.22,4.6,-14.4,-4,10.3,1,10.8,-5.6,-2.8,2.3
2252453,03-24-2023,2023,Creighton,Princeton,TRUE,FALSE,6,15,0.22,2.1,0.7,-0.11,1.4,-0.3,7.1,-1.89,-2.9,0.2,-2,-2.2,-0.1,1,1,0,-7,1.4,1.2,-0.4
2252451,03-24-2023,2023,Texas,Xavier,TRUE,FALSE,2,3,-0.14,-2.9,0.4,-2.99,-1.9,-1.8,3.8,-0.64,1.4,2.1,-3.62,-5.7,-6.3,-3,3.2,2,3.3,-3.4,-4.3,4.8
2252454,03-25-2023,2023,Kansas State,Florida Atlantic,FALSE,TRUE,3,9,0.01,2.6,0.2,-3.27,-0.5,2.1,2.9,-1.04,2.2,0.9,-4.31,-5.3,4.6,-2,-6.2,2,-17.5,-1.5,-2.3,0.7
2252455,03-25-2023,2023,Gonzaga,UConn,FALSE,TRUE,3,4,0.16,-1.2,-1.5,0.51,5.7,4.3,-6.8,-2.65,-1.1,1.5,-2.14,-3.8,9.3,8,-1.6,1,4.3,5.2,1.6,2.8
2252456,03-26-2023,2023,San Diego State,Creighton,TRUE,FALSE,5,6,-0.23,-2.8,-0.2,-3.35,-3.1,-1.3,-6.1,2.65,3.2,-1,-0.69,0.3,-4.9,-5,-0.3,2,17.2,-5.2,-0.6,3.2
2252457,03-26-2023,2023,Texas,Miami (Fla.),FALSE,TRUE,2,5,0.1,1.7,0.5,0.12,-0.7,-2.3,-3.6,-0.75,3.2,2.3,-0.62,-2.9,-4.1,-1,3,1,-2.1,-1.1,-2.1,2.7
2252458,04-01-2023,2023,San Diego State,Florida Atlantic,TRUE,FALSE,5,9,-0.1,-1.5,1.3,-2.67,-2.8,0.6,0.3,0.02,0.6,-0.8,-2.64,-1.9,-1.8,-7,-4.8,0,-7.6,-3.9,-1.8,0.8
2252459,04-01-2023,2023,UConn,Miami (Fla.),TRUE,FALSE,4,5,0.06,3,1.8,1.98,-1.6,-4.9,-2.3,2.62,3.5,-2,4.6,6.7,-7.8,-1,7.3,-1,1.1,-3.8,-0.5,-1.7
2252460,04-03-2023,2023,UConn,San Diego State,TRUE,FALSE,4,5,0.24,4.6,1,0.95,2.6,-1,3.9,2.08,1.4,-2.1,3.02,5.2,0.6,7,6.7,0,-2.6,1.3,1.5,-1.6
