GameID,Date,Year,Home_team,Away_Team,Home_winner?,Away_Winner?,Home_Seed,Away_Seed,Home Win %,Away Win %,Ratio A/T,APG,BKPG,RPG DEF,FG%,OPP FG%,FT%,RPG OFF,PFPG,OPP RPG,RPG,REB MAR,OPP PPG,PPG,SCR MAR,STPG,Pct (W/L),3FG% OPP,3FG%,TO MAR
2427577,03-24-2024,2024,Alabama,Grand Canyon,TRUE,FALSE,4,12,#N/A,#N/A,0.33,3.7,-1.1,0.55,1.2,3.5,3.1,0.87,2,2.1,1.4,-0.7,14.2,11,-3.2,-0.9,-22.3,-0.5,2.1,-2
2427574,03-24-2024,2024,UConn,Northwestern,TRUE,FALSE,1,9,#N/A,#N/A,0.09,2.8,2.1,4.1,3.7,-5.2,-0.6,3.21,-1.6,-3.2,7.3,10.6,-4.6,7.8,12.4,-0.7,25.6,-4,-2.7,-2.7
2427579,03-24-2024,2024,Houston,Texas A&M,TRUE,FALSE,1,9,#N/A,#N/A,0.29,1.6,1.8,-1.47,3.5,-4.6,-1.5,-3.58,1.2,0,-5.1,-5.1,-13.8,-1.8,12.1,2.9,29.4,-3.9,6.3,5.3
2427576,03-24-2024,2024,San Diego State,Yale,TRUE,FALSE,5,13,#N/A,#N/A,-0.42,-2.1,0.7,-0.68,-3,-1,2.4,1.68,2.5,1.1,1,-0.2,0,-0.6,-0.5,1.3,-0.4,-2.7,-3.4,-0.1
2427581,03-28-2024,2024,Arizona,Clemson,FALSE,TRUE,2,6,#N/A,#N/A,0.11,3.9,-0.4,2.17,2.1,0.5,-7.1,4.02,0.5,-1.1,6.2,7.4,0.9,10.5,9.6,3.8,10.2,-0.6,1.7,2.4
2427582,03-28-2024,2024,UConn,San Diego State,TRUE,FALSE,1,5,#N/A,#N/A,0.69,5.4,1.4,0.5,5.6,-0.7,0.9,-0.12,-1.3,-3.3,0.4,3.8,-2.2,6.9,9.1,-1.1,20.6,1.4,5.4,-0.5
2427580,03-28-2024,2024,North Carolina,Alabama,FALSE,TRUE,1,4,#N/A,#N/A,0.06,-1.6,-0.1,2.15,-2.8,-3.3,-3,-0.6,-3.3,-1.5,1.5,3,-10.9,-9.3,1.5,-1.5,13.8,-0.5,-1.1,0.7
0d2ddc68-9f3a-4f11-acb1-b51ec7ce8a61,03-28-2024,2024,Iowa State,Illinois,FALSE,TRUE,2,3,#N/A,#N/A,0.27,2.8,-0.7,-5.17,-0.8,-3.2,-4.8,-2.12,1.1,0.2,-7.3,-7.6,-12.5,-8.8,3.7,6.2,2.9,-2.8,-0.1,8.9
2427585,03-29-2024,2024,Marquette,NC State,FALSE,TRUE,2,11,#N/A,#N/A,0.25,3,-0.3,-0.58,2.8,-1.9,-1.9,-1.6,-1,-0.5,-2.2,-1.7,-3,1.9,4.9,1.2,12.4,-1.2,1.1,1.9
2427586,03-29-2024,2024,Purdue,Gonzaga,TRUE,FALSE,1,5,#N/A,#N/A,-0.09,1.8,-0.2,0.21,-2.8,1.4,0,1.21,-1.3,-2,1.5,3.4,1.2,-1.5,-2.6,-1.2,9.8,-2,5.4,-3.5
2427584,03-29-2024,2024,Houston,Duke,FALSE,TRUE,1,4,#N/A,#N/A,-0.13,-2.5,1,-2.03,-4.8,-5.3,-2.8,3.15,2,2.3,1.1,-1.2,-10.4,-6.8,3.7,3.6,13.2,-2.6,-3,5.4
2427587,03-29-2024,2024,Tennessee,Creighton,TRUE,FALSE,2,3,#N/A,#N/A,0.01,-0.3,0.6,-2.5,-4.2,-3.1,-3.2,3.38,6.1,1.7,0.9,-0.9,-1.8,-1,0.8,3.9,3.1,-0.8,-1.9,5.9
2427589,03-30-2024,2024,UConn,Illinois,TRUE,FALSE,1,3,#N/A,#N/A,0.67,5.5,1.6,-1.53,2.5,-3.4,-0.3,-1.32,0.8,-2.8,-2.8,-0.1,-9.4,-2.9,6.5,2,14.7,-2.4,1.7,2.9
2427588,03-30-2024,2024,Alabama,Clemson,TRUE,FALSE,4,6,#N/A,#N/A,-0.1,1.4,0.3,-0.34,0.9,2.2,-0.6,3.5,4.1,2,3.2,1.2,9.8,13.4,3.6,2.8,0,-2.1,1.1,0.6
2427590,03-31-2024,2024,Purdue,Tennessee,TRUE,FALSE,1,2,#N/A,#N/A,-0.03,1.6,-0.9,1.08,4.4,3,-2.8,0.46,-3,-5.6,1.6,7.1,2.3,3.9,1.7,-2.2,12.9,0,6.6,-4.8
2427591,03-31-2024,2024,Duke,NC State,FALSE,TRUE,4,11,#N/A,#N/A,0.25,2.6,0.2,1.39,3.2,-1.1,-1.2,0.17,-0.6,-4.6,1.5,6.1,-5.3,3.4,8.7,-1,13.9,-2.2,3,-1.2
2427593,04-06-2024,2024,Purdue,NC State,TRUE,FALSE,1,11,#N/A,#N/A,0.26,5.6,0.3,3.6,3.8,-2.4,-1.3,1.79,-2,-6.5,5.4,11.8,-2.5,7,9.6,-1.7,26.8,-3.4,6.1,-4.6
2427592,04-06-2024,2024,UConn,Alabama,TRUE,FALSE,1,4,#N/A,#N/A,0.54,2.4,1.2,-0.03,1.9,-4.2,-4.2,-1.1,-3.7,-5.1,-1.1,4,-16.7,-9.3,7.4,-1.1,25.6,0,0.2,1.2
2427594,04-08-2024,2024,UConn,Purdue,TRUE,FALSE,1,1,#N/A,#N/A,0.28,0.1,1.6,-1.36,0.8,-2.1,2.1,-0.53,1.8,0.5,-1.9,-2.3,-5.8,-1.9,3.8,0.5,3.3,0.5,-4.1,2.6
